Xmin: [-0.81270478]  Ymin: [0.00729522]  Zmin: [0.66054228]
Xmin: [-0.81211611]  Ymin: [0.00788389]  Zmin: [0.65959474]
Xmin: [-0.8090355]  Ymin: [0.0109645]  Zmin: [0.65465867]
Xmin: [-0.80585634]  Ymin: [0.01414366]  Zmin: [0.64960449]
Xmin: [-0.8047722]  Ymin: [0.0152278]  Zmin: [0.64789019]
Xmin: [-0.80337849]  Ymin: [0.01662151]  Zmin: [0.64569328]
Xmin: [-0.80337849]  Ymin: [0.01662151]  Zmin: [0.64569328]
Xmin: [-0.79791109]  Ymin: [0.02208891]  Zmin: [0.63715002]
Xmin: [-0.7927349]  Ymin: [0.0272651]  Zmin: [0.629172]
Xmin: [-0.79006291]  Ymin: [0.02993709]  Zmin: [0.62509564]
Xmin: [-0.78845354]  Ymin: [0.03154646]  Zmin: [0.62265417]
Xmin: [-0.7859718]  Ymin: [0.0340282]  Zmin: [0.61890959]
Xmin: [-0.7859718]  Ymin: [0.0340282]  Zmin: [0.61890959]
Xmin: [-0.7859718]  Ymin: [0.0340282]  Zmin: [0.61890959]
Xmin: [-0.7859718]  Ymin: [0.0340282]  Zmin: [0.61890959]
Xmin: [-0.7859718]  Ymin: [0.0340282]  Zmin: [0.61890959]
Xmin: [-0.7859718]  Ymin: [0.0340282]  Zmin: [0.61890959]
Xmin: [-0.7859718]  Ymin: [0.0340282]  Zmin: [0.61890959]
Xmin: [-0.7859718]  Ymin: [0.0340282]  Zmin: [0.61890959]
Xmin: [-0.7859718]  Ymin: [0.0340282]  Zmin: [0.61890959]
Xmin: [-0.7859718]  Ymin: [0.0340282]  Zmin: [0.61890959]
Xmin: [-0.7859718]  Ymin: [0.0340282]  Zmin: [0.61890959]
Xmin: [-0.7859718]  Ymin: [0.0340282]  Zmin: [0.61890959]
Xmin: [-0.7859718]  Ymin: [0.0340282]  Zmin: [0.61890959]
Xmin: [-0.7859718]  Ymin: [0.0340282]  Zmin: [0.61890959]
Xmin: [-0.7859718]  Ymin: [0.0340282]  Zmin: [0.61890959]
Xmin: [-0.7859718]  Ymin: [0.0340282]  Zmin: [0.61890959]
Xmin: [-0.7859718]  Ymin: [0.0340282]  Zmin: [0.61890959]
Xmin: [-0.7859718]  Ymin: [0.0340282]  Zmin: [0.61890959]
Xmin: [-0.7859718]  Ymin: [0.0340282]  Zmin: [0.61890959]
Xmin: [-0.7766245]  Ymin: [0.0433755]  Zmin: [0.60502705]
Xmin: [-0.775256]  Ymin: [0.044744]  Zmin: [0.60302389]
Xmin: [-0.76891557]  Ymin: [0.05108443]  Zmin: [0.59384077]
Xmin: [-0.76891557]  Ymin: [0.05108443]  Zmin: [0.59384077]
Xmin: [-0.76721092]  Ymin: [0.05278908]  Zmin: [0.59139929]
Xmin: [-0.76300773]  Ymin: [0.05699227]  Zmin: [0.58542892]
Xmin: [-0.76300773]  Ymin: [0.05699227]  Zmin: [0.58542892]
Xmin: [-0.76300773]  Ymin: [0.05699227]  Zmin: [0.58542892]
Xmin: [-0.76300773]  Ymin: [0.05699227]  Zmin: [0.58542892]
Xmin: [-0.76300773]  Ymin: [0.05699227]  Zmin: [0.58542892]
Xmin: [-0.76300773]  Ymin: [0.05699227]  Zmin: [0.58542892]
Xmin: [-0.76300773]  Ymin: [0.05699227]  Zmin: [0.58542892]
Xmin: [-0.76300773]  Ymin: [0.05699227]  Zmin: [0.58542892]
Xmin: [-0.7594742]  Ymin: [0.0605258]  Zmin: [0.58046443]
Xmin: [-0.7594742]  Ymin: [0.0605258]  Zmin: [0.58046443]
Xmin: [-0.7594742]  Ymin: [0.0605258]  Zmin: [0.58046443]
Xmin: [-0.7594742]  Ymin: [0.0605258]  Zmin: [0.58046443]
Xmin: [-0.7594742]  Ymin: [0.0605258]  Zmin: [0.58046443]
Xmin: [-0.7594742]  Ymin: [0.0605258]  Zmin: [0.58046443]
Xmin: [-0.7594742]  Ymin: [0.0605258]  Zmin: [0.58046443]
Xmin: [-0.7594742]  Ymin: [0.0605258]  Zmin: [0.58046443]
Xmin: [-0.7594742]  Ymin: [0.0605258]  Zmin: [0.58046443]
Xmin: [-0.7594742]  Ymin: [0.0605258]  Zmin: [0.58046443]
Xmin: [-0.7594742]  Ymin: [0.0605258]  Zmin: [0.58046443]
Xmin: [-0.7594742]  Ymin: [0.0605258]  Zmin: [0.58046443]
Xmin: [-0.7594742]  Ymin: [0.0605258]  Zmin: [0.58046443]
Xmin: [-0.7594742]  Ymin: [0.0605258]  Zmin: [0.58046443]
Xmin: [-0.7594742]  Ymin: [0.0605258]  Zmin: [0.58046443]
Xmin: [-0.7594742]  Ymin: [0.0605258]  Zmin: [0.58046443]
Xmin: [-0.7594742]  Ymin: [0.0605258]  Zmin: [0.58046443]
Xmin: [-0.7594742]  Ymin: [0.0605258]  Zmin: [0.58046443]
Xmin: [-0.7594742]  Ymin: [0.0605258]  Zmin: [0.58046443]
Xmin: [-0.7594742]  Ymin: [0.0605258]  Zmin: [0.58046443]
Xmin: [-0.7590098]  Ymin: [0.0609902]  Zmin: [0.57981568]
Xmin: [-0.7590098]  Ymin: [0.0609902]  Zmin: [0.57981568]
Xmin: [-0.7590098]  Ymin: [0.0609902]  Zmin: [0.57981568]
Xmin: [-0.7554359]  Ymin: [0.0645641]  Zmin: [0.57485193]
Xmin: [-0.7554359]  Ymin: [0.0645641]  Zmin: [0.57485193]
Xmin: [-0.7554359]  Ymin: [0.0645641]  Zmin: [0.57485193]
Xmin: [-0.75368702]  Ymin: [0.06631298]  Zmin: [0.57244154]
Xmin: [-0.7509015]  Ymin: [0.0690985]  Zmin: [0.56862766]
Xmin: [-0.75043471]  Ymin: [0.06956529]  Zmin: [0.56799158]
Xmin: [-0.74835229]  Ymin: [0.07164771]  Zmin: [0.56516455]
Xmin: [-0.74835229]  Ymin: [0.07164771]  Zmin: [0.56516455]
Xmin: [-0.74695861]  Ymin: [0.07304139]  Zmin: [0.5632822]
Xmin: [-0.74370912]  Ymin: [0.07629088]  Zmin: [0.55892355]
Xmin: [-0.74370912]  Ymin: [0.07629088]  Zmin: [0.55892355]
Xmin: [-0.74370912]  Ymin: [0.07629088]  Zmin: [0.55892355]
Xmin: [-0.73230383]  Ymin: [0.08769617]  Zmin: [0.54395951]
Xmin: [-0.73120339]  Ymin: [0.08879661]  Zmin: [0.54254324]
Xmin: [-0.72263041]  Ymin: [0.09736959]  Zmin: [0.53167555]
Xmin: [-0.71963304]  Ymin: [0.10036696]  Zmin: [0.52794524]
Xmin: [-0.71963304]  Ymin: [0.10036696]  Zmin: [0.52794524]
Xmin: [-0.71963304]  Ymin: [0.10036696]  Zmin: [0.52794524]
Xmin: [-0.71595764]  Ymin: [0.10404236]  Zmin: [0.52342016]
Xmin: [-0.71092175]  Ymin: [0.10907825]  Zmin: [0.5173078]
Xmin: [-0.71060574]  Ymin: [0.10939426]  Zmin: [0.51692762]
Xmin: [-0.70907674]  Ymin: [0.11092326]  Zmin: [0.51509379]
Xmin: [-0.70838975]  Ymin: [0.11161025]  Zmin: [0.51427289]
Xmin: [-0.70823301]  Ymin: [0.11176699]  Zmin: [0.51408586]
Xmin: [-0.70758986]  Ymin: [0.11241014]  Zmin: [0.51331945]
Xmin: [-0.70516175]  Ymin: [0.11483825]  Zmin: [0.51044092]
Xmin: [-0.70516175]  Ymin: [0.11483825]  Zmin: [0.51044092]
Xmin: [-0.70135779]  Ymin: [0.11864221]  Zmin: [0.50597872]
Xmin: [-0.70135779]  Ymin: [0.11864221]  Zmin: [0.50597872]
Xmin: [-0.70135779]  Ymin: [0.11864221]  Zmin: [0.50597872]
Xmin: [-0.70073258]  Ymin: [0.11926742]  Zmin: [0.50525087]
Xmin: [-0.69872694]  Ymin: [0.12127306]  Zmin: [0.5029265]
Xmin: [-0.69872694]  Ymin: [0.12127306]  Zmin: [0.5029265]
Xmin: [-0.69872694]  Ymin: [0.12127306]  Zmin: [0.5029265]
Xmin: [-0.69872694]  Ymin: [0.12127306]  Zmin: [0.5029265]
Xmin: [-0.69872694]  Ymin: [0.12127306]  Zmin: [0.5029265]
Xmin: [-0.69872694]  Ymin: [0.12127306]  Zmin: [0.5029265]
Xmin: [-0.69872694]  Ymin: [0.12127306]  Zmin: [0.5029265]
Xmin: [-0.69872694]  Ymin: [0.12127306]  Zmin: [0.5029265]
Xmin: [-0.69872694]  Ymin: [0.12127306]  Zmin: [0.5029265]
Xmin: [-0.69872694]  Ymin: [0.12127306]  Zmin: [0.5029265]
Xmin: [-0.69872694]  Ymin: [0.12127306]  Zmin: [0.5029265]
Xmin: [-0.69561699]  Ymin: [0.12438301]  Zmin: [0.49935413]
Xmin: [-0.69559206]  Ymin: [0.12440794]  Zmin: [0.49932565]
Xmin: [-0.68326292]  Ymin: [0.13673708]  Zmin: [0.48554524]
Xmin: [-0.68070873]  Ymin: [0.13929127]  Zmin: [0.48276644]
Xmin: [-0.67942375]  Ymin: [0.14057625]  Zmin: [0.48137831]
Xmin: [-0.67720777]  Ymin: [0.14279223]  Zmin: [0.47899999]
Xmin: [-0.67708565]  Ymin: [0.14291435]  Zmin: [0.47886949]
Xmin: [-0.6764889]  Ymin: [0.1435111]  Zmin: [0.47823266]
Xmin: [-0.6764889]  Ymin: [0.1435111]  Zmin: [0.47823266]
Xmin: [-0.6764889]  Ymin: [0.1435111]  Zmin: [0.47823266]
Xmin: [-0.67019349]  Ymin: [0.14980651]  Zmin: [0.47160131]
Xmin: [-0.67019349]  Ymin: [0.14980651]  Zmin: [0.47160131]
Xmin: [-0.67019349]  Ymin: [0.14980651]  Zmin: [0.47160131]
Xmin: [-0.66976839]  Ymin: [0.15023161]  Zmin: [0.47115923]
Xmin: [-0.66976839]  Ymin: [0.15023161]  Zmin: [0.47115923]
Xmin: [-0.66834402]  Ymin: [0.15165598]  Zmin: [0.46968327]
Xmin: [-0.66674787]  Ymin: [0.15325213]  Zmin: [0.46803894]
Xmin: [-0.66674787]  Ymin: [0.15325213]  Zmin: [0.46803894]
Xmin: [-0.66674787]  Ymin: [0.15325213]  Zmin: [0.46803894]
Xmin: -0.199  Ymin: -0.071  Zmin: 0.044642
Xmin: -0.199  Ymin: -0.071  Zmin: 0.044642
Xmin: -0.199  Ymin: -0.071  Zmin: 0.044642
Xmin: -0.199  Ymin: -0.071  Zmin: 0.044642
Xmin: -0.199  Ymin: -0.071  Zmin: 0.044642
Xmin: [-0.19638076]  Ymin: [-0.06838076]  Zmin: [0.04324133]
Xmin: [-0.19458027]  Ymin: [-0.06658027]  Zmin: [0.04229441]
Xmin: [-0.19458027]  Ymin: [-0.06658027]  Zmin: [0.04229441]
Xmin: [-0.18492946]  Ymin: [-0.05692946]  Zmin: [0.03743987]
Xmin: [-0.18130461]  Ymin: [-0.05330461]  Zmin: [0.03571274]
Xmin: [-0.18130461]  Ymin: [-0.05330461]  Zmin: [0.03571274]
Xmin: [-0.18130461]  Ymin: [-0.05330461]  Zmin: [0.03571274]
Xmin: [-0.18130461]  Ymin: [-0.05330461]  Zmin: [0.03571274]
Xmin: [-0.18130461]  Ymin: [-0.05330461]  Zmin: [0.03571274]
Xmin: [-0.18130461]  Ymin: [-0.05330461]  Zmin: [0.03571274]
Xmin: [-0.18130461]  Ymin: [-0.05330461]  Zmin: [0.03571274]
Xmin: [-0.16867594]  Ymin: [-0.04067594]  Zmin: [0.0301061]
Xmin: [-0.16867594]  Ymin: [-0.04067594]  Zmin: [0.0301061]
Xmin: [-0.16867594]  Ymin: [-0.04067594]  Zmin: [0.0301061]
Xmin: [-0.16679273]  Ymin: [-0.03879273]  Zmin: [0.02932469]
Xmin: [-0.16425382]  Ymin: [-0.03625382]  Zmin: [0.02829366]
Xmin: [-0.1636907]  Ymin: [-0.0356907]  Zmin: [0.02806847]
Xmin: [-0.15929528]  Ymin: [-0.03129528]  Zmin: [0.02635438]
Xmin: [-0.15929528]  Ymin: [-0.03129528]  Zmin: [0.02635438]
Xmin: [-0.12043091]  Ymin: [0.00756909]  Zmin: [0.01456089]
Xmin: [-0.11971411]  Ymin: [0.00828589]  Zmin: [0.01440012]
Xmin: [-0.11902053]  Ymin: [0.00897947]  Zmin: [0.01424652]
Xmin: [-0.11902053]  Ymin: [0.00897947]  Zmin: [0.01424652]
